Investor,RemunerationPolicy
Allianz Global Investors GmbH,"**Allianz Global Investors GmbH Voting Policy on Remuneration**

- **General Approach:** AllianzGI expects remuneration to promote long-term success, with structure and quantum aligned to business environment and performance; executive pay should align with shareholder interests and include both short- and long-term elements.

- **Salary Caps and Bonuses:** Does not approve significant salary increases without material business or role changes; opposes contractual multi-year guarantees of salary increases, bonuses, or equity; severance pay ideally capped at two years’ fixed salary and annual bonus, with performance conditions where appropriate; opposes transaction bonuses and retrospective ex-gratia payments.

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Supports share-based plans including deferrals and expects KPIs and robust performance targets; prefers share-based incentives over stock options due to dilution and risk concerns; accepts small-scale non-performance conditioned share awards up to 100% of salary (50% in the US); may not support equity award plans dilutive beyond 10% of issued share capital in 10 years; opposes repricing, backdating, re-testing or other material alterations without shareholder approval.

- **Performance Alignment:** Incentive awards must be subject to relevant KPIs, robust performance targets, defined award opportunities, and appropriate performance periods (no less than three years for long-term incentives); vesting linked to relative performance against peers with vesting scales encouraging superior performance; expects risk considerations to prevent rewards for inappropriate risk-taking; encourages substantial management shareholding and transparent disclosure of targets; expects retrospective disclosure of bonus targets; allows for two main approaches to performance-based share incentive schemes, requiring secondary vesting assessment for short initial periods.

- **Clawbacks:** Encourages introduction of clawback policies with compliance- and result-related clauses; expects clawback provisions included in incentive plans.

- **ESG-Based Remuneration:** Expects integration of material ESG (including climate) KPIs into remuneration policies; generally votes against remuneration items where ESG KPIs are absent in developed markets; expects boards to choose material ESG KPIs and report transparently; expanded ESG KPI requirements to small and mid-cap companies in developed markets.

- **Voting Considerations:**
  - Votes against executive directors serving on Remuneration Committee.
  - May vote against remuneration proposals lacking sufficient disclosure or those with excessive pay not aligned to workforce increases or company circumstances.
  - May vote against Remuneration Committee members if shareholder concerns on remuneration remain unaddressed after engagement.

- **In summary:** AllianzGI demands transparent, performance- and ESG-aligned remuneration policies that promote long-term shareholder value, limit dilution, and apply robust governance and disclosure standards."
Amundi Asset Management SA (Investment Management),"**Amundi Asset Management SA (Investment Management) Voting Policy on Remuneration**

- **General Approach:** Executive remuneration must be reasonable, economically justified, attractive enough to retain talent, aligned with shareholders’ and stakeholders’ interests, and acceptable from a societal viewpoint. Changes in remuneration must be consistent with the company’s financial and non-financial performance trends.

- **Salary Caps and Bonuses:** Variable (at risk) remuneration should have minimum and maximum limits and be based on clearly defined performance criteria, including ESG KPIs. Severance pay should generally not exceed two years of total remuneration except in exceptional circumstances.

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** LTIPs like stock options and performance shares are accepted if aligned with long-term shareholder interests. Subscription price must align with market conditions, no discount or repricing allowed. Performance conditions and/or minimum holding periods are required. Total plan awards must remain below 10% of share capital except if exceptional and justified.

- **Performance Alignment:** Performance criteria must be quantifiable, consistent with company strategy, and include ESG KPIs. ESG-related KPIs should ideally be more than 20% of variable remuneration; less than 10% may cause opposition. Climate-related criteria are mandated for high-impact sectors, including carbon footprint reduction targets. Deferred payment of remuneration is expected, conditional on maintaining company performance.

- **Clawbacks:** Present implicitly—outstanding deferred remuneration will not be paid if serious questionable or illegal events occur, especially regarding risk-taking.

- **ESG-Based Remuneration:** ESG, CSR, or Sustainability KPIs must be linked to company strategy and material risks, significant in weighting (preferably >20%). Climate-related metrics required for high-impact sectors. Amundi expects remuneration to link to Paris Agreement alignment. Voting favors transparency on pay equity ratios, living wages, gender pay gaps, and employee involvement.

- **Voting Considerations:**
  - Reasonableness and societal acceptability of executive pay levels and their evolution
  - Quality, transparency, and stringency of performance criteria including ESG integration and deferred remuneration
  - Alignment of LTIPs with market conditions, shareholder interests, capitalization limits, and absence of repricing

- **In summary:** Amundi demands executive remuneration policies be transparent, reasonable, ESG-integrated, and aligned with long-term shareholder and societal interests while controlling risks through performance metrics, deferral, and limits on incentive plans."
Andra Ap - Fonden 2 (AP2),"**Andra Ap - Fonden 2 (AP2) Voting Policy on Remuneration**

- **General Approach:** Remuneration should be reasonable, market-based, aligned with long-term development, and transparent. It must have a clear link between performance and outcome, ensuring reasonable risk-taking.

- **Salary Caps and Bonuses:** Severance pay may not exceed an amount equivalent to two years' fixed salary. Variable short-term remuneration should not exceed 100% of fixed salary. Additional cash variable remuneration is acceptable only in extraordinary circumstances and subject to specific maximum limits.

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** LTIPs should have a limited total dilution, normally capped at 10% of total shares. Repricing or use of shares as collateral for loans is not advocated. Part of the outcome should be paid in shares. Matching shares must be linked to clear performance goals, not just employment or personal investment.

- **Performance Alignment:** Performance requirements must be predetermined, relevant, clear, measurable, and aligned with the company’s long-term strategy and specific risks. Use of relative performance measures, preferably against competitors, is encouraged. There should be a clear link between performance and remuneration; no remuneration without this link.

- **Clawbacks:** Present. Remuneration systems should enable the board to reclaim remuneration paid on incorrect grounds.

- **ESG-Based Remuneration:** From 2024, AP2 will vote against incentive programs that do not reflect relevant sustainability issues. Sustainability is viewed as a prerequisite for long-term value creation and should be reflected in compensation programs.

- **Voting Considerations:**
  - No to remuneration programmes without a clear link between performance and pay.
  - No to programmes with significant one-off payments.
  - No to proposed variable remuneration programmes where dialogue with the remuneration committee failed to produce required results.

- **In summary:** AP2 advocates remuneration systems that are transparent, performance-linked, capped in dilution and payout, integrate sustainability, and promote long-term shareholder value."
Assenagon Asset Management SA (Germany),"**Assenagon Asset Management SA (Germany) Voting Policy on Remuneration**

- **General Approach:** Not mentioned  
- **Salary Caps and Bonuses:** Not mentioned  
- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Not mentioned  
- **Performance Alignment:** Not mentioned  
- **Clawbacks:** Not mentioned  
- **ESG-Based Remuneration:** Not mentioned  
- **Voting Considerations:**
  - Votes are exercised proportionally based on ownership, not voting if holdings are below 1% of voting rights.
  - Voting rights linked to equity positions without economic impact on fund performance will not be exercised.
  - The Company considers best practice guidelines when exercising voting rights (incomplete information).
- **In summary:** Voting on remuneration matters is governed primarily by proportionality of ownership and economic impact, with best practice as a guiding principle."
Artisan Partners,"**Artisan Partners Voting Policy on Remuneration**

- **General Approach:** Votes on remuneration-related proposals are evaluated on a case-by-case basis considering company performance, pay practices relative to peers, potential problematic pay practices, and shareholder feedback.

- **Salary Caps and Bonuses:** Vote FOR incentive bonus plans submitted for ensuring tax deductibility under Section 162(m) if no share increase or evergreen provision included. Vote case-by-case on amendments increasing reserved shares or adding evergreen provisions. Vote case-by-case on bonus banking proposals considering past compensation practices and clawback policies.

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Vote FOR stock plans providing dollar-for-dollar cash for stock exchange. Vote case-by-case on stock plans not providing dollar-for-dollar exchange. Vote case-by-case on management proposals seeking approval to reprice options considering vesting, exercise price, dilution, and value-for-value exchange. Vote case-by-case on equity awards vesting schedules and burn rates for non-employee director equity plans.

- **Performance Alignment:** Vote FOR plans adding performance goals to comply with Section 162(m) unless clearly inappropriate. Bonus banking payouts should be linked to sustained results based on performance metrics.

- **Clawbacks:** Consider presence of rigorous clawback policies in voting decisions on bonus banking proposals.

- **ESG-Based Remuneration:** Not mentioned.

- **Voting Considerations:**
  - Company performance and pay practices relative to industry peers.
  - Potential problematic pay practices or unresponsiveness to shareholder concerns.
  - Features of equity plans, including dilution effects, vesting schedules, and limits on annual grants.

- **In summary:** Artisan Partners adopts a case-by-case approach to remuneration proposals, emphasizing performance alignment, tax deductibility compliance, and careful review of equity plan features."
Artemis voting policy,"**Artemis voting policy Voting Policy on Remuneration**

- **General Approach:** Remuneration should be appropriate, supportive of the company’s strategy, and designed to align executives’ interests with those of shareholders.  
- **Salary Caps and Bonuses:** Executive salary increases should not be out of line with the general company increases. Recruitment awards should be in shares with a portion held for at least three years. Severance payments should not exceed 12 months' salary (including pension and benefits) and bonuses/incentives should be pro rated. Golden parachutes and single trigger exit payments are not supported. Bonuses to outside directors in Japan are opposed.  
- **Long-Term Incentive Plans (LTIPs) and Stock Options:** LTIPs should measure performance over at least three years with additional post-vesting holding periods. Restricted shares without performance links may be used only with at least a 50% discount and longer vesting periods, plus clear rationale. Dilution levels that are excessive will lead to opposition.  
- **Performance Alignment:** Performance targets must be challenging, quantifiable, and support the company’s strategy, focusing on sustained growth (earnings, cash generation, dividends, return on capital, investor returns). ESG factors must be materially incorporated into incentive plans with clear links to strategy. Cash payments or vesting must be conditional on performance targets being met or exceeded. Retrospective changes to performance conditions are not accepted except for major corporate actions. Meaningful shareholding guidelines are expected.  
- **Clawbacks:** Not mentioned.  
- **ESG-Based Remuneration:** Material ESG factors should be incorporated into incentive plans with quantifiable targets clearly linked to strategy.  
- **Voting Considerations:**  
  - Vote against remuneration policy or report if performance targets are absent or not binding, LTIPs are shorter than three years without additional holding periods or excessive dilution occurs, or retrospective performance changes occur without justification.  
  - Vote against re-election of remuneration committee chair if remuneration report is not supported for two consecutive years.  
  - Support shareholder proposals that aim to improve remuneration best practice.  
- **In summary:** Artemis votes to ensure remuneration fosters long-term, performance-based incentives aligned with shareholder interests and good governance practices."
BMO Global Asset Management,"**BMO Global Asset Management Voting Policy on Remuneration**

- **General Approach:** Proxy voting is delegated to each fund’s portfolio manager or sub-advisor, who must vote in the best interests of the fund and its securityholders, following BMO GAM’s Corporate Governance Guidelines and Proxy Voting Guidelines.

- **Salary Caps and Bonuses:** Not mentioned

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Not mentioned

- **Performance Alignment:** Not mentioned

- **Clawbacks:** Not mentioned

- **ESG-Based Remuneration:** Voting decisions incorporate support from an ESG expert team that operates independently from portfolio management and assists with governance analysis.

- **Voting Considerations:**
  - Support for management typically depends on sound financial terms, synergy, and management quality in matters such as mergers and acquisitions.
  - Routine matters generally support management recommendations unless issues arise, e.g., auditor independence concerns.
  - Compensation proposals are considered non-routine matters subject to specific fund-level policies and procedures.

- **In summary:** Voting on remuneration-related matters follows BMO GAM’s governance guidelines with oversight integrating ESG expertise and fund-specific policies to act in the best interests of securityholders."
Asset Management One,"**Asset Management One Voting Policy on Remuneration**

- **General Approach:** AM-One supports remuneration aligned with shareholder interests and sustainable value creation, requiring robust governance and performance oversight by boards. Voting decisions on remuneration proposals are made case-by-case, considering company performance, comparative remuneration levels, and long-term prospects.

- **Salary Caps and Bonuses:** Support amendments to include annual compensation caps pursuant to OBRA Section 162(m). Support cash bonus and cash plus share bonus plans that are tax deductible under OBRA Section 162(m).

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Evaluate stock option plans considering company growth, dilution potential, performance link, pay-for-performance mechanisms, disclosures, and problematic schemes. Vote case-by-case on amendments to increase share grants for tax deductions. Support shareholder proposals for voting on option price revisions. Vote against prohibiting future stock option grants except for repeated repricing, excessive dilution, or no remedial actions. Repricing of options is evaluated on whether it is in shareholders’ interest. Performance-linked stock options are considered, but opposed if requiring all grants to be performance-based, covering all employees, or if performance-based portion is already significant.

- **Performance Alignment:** Consider performance-linkage in options and remuneration. Support shareholder proposals adding performance targets pursuant to OBRA. Assess proposals requiring executive shareholding or holding periods case-by-case, considering existing requirements and shareholding situation.

- **Clawbacks:** Not mentioned.

- **ESG-Based Remuneration:** Consider shareholder proposals linking executive pay to sustainability-related environmental and social performance on a case-by-case basis by assessing legal compliance, performance management, ESG integration relative to peers, and disclosures.

- **Voting Considerations:**
  - Alignment with shareholder interests, company performance, and remuneration comparability.
  - Presence and quality of performance metrics and mechanisms to prevent excessive pay with poor performance.
  - Transparency, disclosure quality, and absence of problematic remuneration arrangements.

- **In summary:** AM-One rigorously evaluates remuneration proposals to ensure alignment with shareholder interests, sustainable growth objectives, and fairness, supporting transparency, appropriate performance linkage, and governance oversight."
Baillie Gifford & Co,"**Baillie Gifford & Co Voting Policy on Remuneration**

- **General Approach:** Baillie Gifford favours simple, transparent remuneration structures with a long-term focus aligned between management and shareholders. They assess every resolution case-by-case, supporting appropriate structures even if unconventional.

- **Salary Caps and Bonuses:** Not mentioned

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Companies should not reprice equity awards or retest performance conditions. Frequent changes to performance metrics or adjustments to in-flight performance targets are not supported. Not mentioned are numeric dilution limits or strike price rules.

- **Performance Alignment:** Vesting of incentive awards for below-median performance is not accepted. The relevance and ambition of performance conditions and alignment with the wider workforce are considered. Unjustified use of discretion is discouraged.

- **Clawbacks:** Not mentioned

- **ESG-Based Remuneration:** Not mentioned specifically, but material ESG factors affecting long-term investment returns may lead to voting opposition; ESG risks are considered in the context of long-term investment performance.

- **Voting Considerations:**
  - Misaligned remuneration causing 20% or more opposition is considered significant.
  - Repricing of equity awards and retesting of performance conditions are prohibited.
  - Severance agreements that are excessive or allow accelerated vesting of variable pay without pro-rating are not supported.

- **In summary:** Baillie Gifford supports remuneration aligned with long-term shareholder value, transparency, and disciplined performance conditions while opposing maladaptive pay practices."
Aviva Investors Global Services Ltd,"**Aviva Investors Global Services Ltd Voting Policy on Remuneration**

- **General Approach:** Remuneration packages should be simple, balanced, transparent, and aligned with company strategy to incentivise and reward long-term sustainable value creation. Pay outcomes must reflect company performance and stakeholder experience.

- **Salary Caps and Bonuses:** Companies should provide clear rationales for pay increases, normally below workforce increases unless justified. Salary increases post-acquisition should be performance-related. New director salaries should not exceed predecessors unless exceptional circumstances. Executive pension entitlements should mirror general workforce benefits. Discretionary and retention payments are not approved.

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** LTIPs should have a minimum three-year performance period. Dilution of share awards from all schemes should not exceed 10% of issued ordinary share capital (or 5% for executive/discretionary schemes) in any rolling 10-year period. Retesting of performance conditions is not supported. Awards should be prorated on departure and upon change in control, with no automatic waiving of conditions. Share options and co-investment plans are supported if aligned with shareholder interests.

- **Performance Alignment:** Majority of pay should be performance-based with transparent, clearly defined, measurable performance conditions avoiding cliff-edge vesting. Bonuses at target should not exceed 50% of maximum payouts; long-term awards vesting at or below 25% for median performance. Performance measures should include ESG targets where material, including climate objectives for high carbon sectors, integrated into malus and clawback mechanisms or incorporated as an underpin. Total Shareholder Returns (TSR) is preferred as a performance measure.

- **Clawbacks:** Present. Pay arrangements should allow for performance adjustment or post-vesting clawback for executive directors’ variable pay with specified circumstances for action.

- **ESG-Based Remuneration:** ESG metrics must be robust, relevant, and meaningful to total pay outcomes when material, including climate-related objectives in variable pay for executives and senior management in high carbon-emitting sectors.

- **Voting Considerations:**
  - Pay misaligned with shareholder interests or wider workforce.
  - Excessive fixed or variable pay, significant increases, or discretionary/retention payments without explanation.
  - Failure to adjust pay after significant ESG incidents or failings.

- **In summary:** Aviva Investors demands transparent, performance-aligned, and sustainably anchored remuneration practices that reflect long-term value creation, with ESG integration and appropriate governance oversight."
BNP Paribas Asset Management France SAS,"**BNP Paribas Asset Management France SAS Voting Policy on Remuneration**

- **General Approach:** Executive compensation plans should align with long-term company performance, discourage irresponsible risk-taking, include non-financial targets related to sustainability, respect best market practices, be disclosed clearly, and be subject to shareholder approval.

- **Salary Caps and Bonuses:** Base salary and its evolution must be justified and reasonable. Bonuses must be linked to transparent, pertinent, and challenging criteria, disclosed with performance weights and targets, and capped as a percentage of fixed remuneration. Any significant unjustified increase in base salary or bonus cap is opposed.

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Plans must have specific quantitative pre-established criteria, a vesting and performance period of at least five years, and disclose caps, criteria, weights, and targets. Limits include cumulative volume not exceeding 10% of issued capital (3% max for corporate officers), annual stock option grants not exceeding 2.5%, and free shares distribution not exceeding 1% of issued capital. Repricing, discounts for executives, re-testing of exercising conditions, or vesting/holding periods less than three years are opposed.

- **Performance Alignment:** Remuneration must be aligned with long-term company performance, integrating environmental and social criteria in variable components; performance criteria, weights, and fulfillment levels must be disclosed transparently. Absence of relevant ESG or climate-related criteria in remuneration is opposed.

- **Clawbacks:** Present. Companies should have clawback policies allowing partial or full recovery of past plans after special circumstances such as restatement of accounts.

- **ESG-Based Remuneration:** Companies are required to link executive variable compensation to relevant environmental and social performance criteria. Absence of such criteria within short or long-term remuneration components triggers opposition.

- **Voting Considerations:**
  - Transparency and clarity of remuneration disclosures including philosophy, amounts, splits, and evolution.
  - Independence of the remuneration committee (>50% independent members, excluding executive directors).
  - Reasonableness and market alignment of remuneration amounts and limits, including severance and exceptional pay.

- **In summary:** BNPP AM supports remuneration policies that are transparent, aligned with long-term and ESG performance, subject to shareholder approval, and that include rigorous caps and clawback provisions to ensure accountability."
